id,original_title,release_date,release_year,runtime,vote_average
319075,Cobain: Montage of Heck,2015-03-23,2015,132,7.5
316042,Hyena Road,2015-10-09,2015,120,5.7
334527,Criminal Activities,2015-11-20,2015,94,5.9
300153,Life,2015-07-24,2015,112,5.9
228203,"McFarland, USA",2015-02-20,2015,128,7.4
332704,Backtrack,2015-07-25,2015,90,5.4
278236,X+Y,2015-03-13,2015,111,6.0
276839,Home Sweet Hell,2015-03-13,2015,98,4.9
326215,Ooops! Noah is Gone...,2015-04-09,2015,85,5.7
363689,The Unspoken,2015-10-24,2015,90,4.1
318256,Hot Girls Wanted,2015-05-29,2015,84,5.9
299245,The Gallows,2015-07-10,2015,87,5.0
333344,Dirty Weekend,2015-09-04,2015,93,4.8
357096,I Spit on Your Grave III: Vengeance is Mine,2015-10-09,2015,91,5.0
309299,Experimenter,2015-10-16,2015,97,6.9
314385,By the Sea,2015-11-12,2015,122,5.4
333596,Woodlawn,2015-10-16,2015,123,6.8
361042,The Hollow,2015-10-24,2015,90,5.1
353686,Visions,2015-08-28,2015,80,5.5
318954,Beyond the Mask,2015-04-06,2015,103,6.2
289191,I Am Here,2015-06-12,2015,97,4.0
324333,Wild Horses,2015-06-05,2015,100,4.1
252164,Pressure,2015-06-04,2015,91,5.0
360784,Hidden,2015-09-15,2015,83,6.5
336313,Hell & Back,2015-10-02,2015,86,4.3
240483,Robot Overlords,2015-01-29,2015,90,4.9
321494,The Man with the Iron Fists 2,2015-03-10,2015,90,4.7
353595,LEGO DC Comics Super Heroes: Justice League: Attack of the Legion of Doom!,2015-08-25,2015,67,6.8
360603,Crown for Christmas,2015-11-27,2015,84,7.6
264337,Spare Parts,2015-01-16,2015,83,6.6
289716,The World Made Straight,2015-01-09,2015,119,5.8
296065,Last Shift,2015-10-06,2015,88,5.6
337029,Frankenstein,2015-11-03,2015,89,4.5
317952,Cartel Land,2015-07-03,2015,100,7.5
325358,Superfast!,2015-03-05,2015,99,4.4
272548,Moonwalkers,2015-03-14,2015,107,6.0
340275,Chi-Raq,2015-12-04,2015,127,5.9
309887,Bad Asses on the Bayou,2015-03-06,2015,85,5.8
302429,Strange Magic,2015-01-23,2015,99,6.1
253331,Black or White,2015-01-30,2015,121,6.7
293771,Dead Rising,2015-03-27,2015,118,4.9
323373,Deathgasm,2015-08-28,2015,86,6.5
323027,Justice League: Gods and Monsters,2015-07-28,2015,76,6.9
297806,I Saw the Light,2015-09-11,2015,123,5.6
253626,Good Kill,2015-04-09,2015,104,5.7
354251,Southbound,2015-09-17,2015,89,6.0
329637,Star Trek: Renegades,2015-08-01,2015,88,4.1
257444,The Boy,2015-08-14,2015,110,6.1
355338,Riley's First Date?,2015-11-03,2015,5,7.3
271736,The Program,2015-09-16,2015,103,5.9
309581,Lila & Eve,2015-07-31,2015,94,5.2
293970,The Final Girls,2015-10-09,2015,91,6.6
279690,He Never Died,2015-03-17,2015,99,6.3
364067,A Very Murray Christmas,2015-12-04,2015,56,5.4
318922,Kill Your Friends,2015-11-06,2015,100,5.5
335077,Battle For SkyArk,2015-05-18,2015,88,3.5
266639,Jem and the Holograms,2015-10-22,2015,119,5.7
274504,The Adderall Diaries,2015-04-16,2015,105,4.8
244316,Grizzly,2015-02-27,2015,94,5.0
352208,Where to Invade Next,2015-12-23,2015,120,7.2
283587,Beasts of No Nation,2015-09-11,2015,137,7.5
311539,A Christmas Horror Story,2015-10-02,2015,99,5.6
277713,Sunset Song,2015-12-04,2015,135,7.1
347945,Synchronicity,2015-07-22,2015,101,5.3
363483,12 Gifts of Christmas,2015-11-26,2015,84,6.3
344854,The Pack,2015-08-05,2015,90,5.5
234212,Demonic,2015-02-12,2015,83,5.0
354220,The Girl in the Photographs,2015-09-14,2015,95,4.7
283596,The Legend of Barney Thomson,2015-07-24,2015,96,5.7
250225,The Duke of Burgundy,2015-01-23,2015,101,5.8
307479,88,2015-01-06,2015,88,4.4
339145,The Girl in the Book,2015-06-13,2015,86,6.2
323660,Avengers Grimm,2015-03-17,2015,90,3.8
308638,The D Train,2015-05-08,2015,101,4.2
359983,The Lion Guard: Return of the Roar,2015-11-22,2015,44,5.9
300155,A Royal Night Out,2015-05-14,2015,97,6.2
328595,Parallels,2015-03-01,2015,83,6.1
327528,Born to Be Blue,2015-09-13,2015,97,6.8
329540,The Marine 4: Moving Target,2015-04-10,2015,90,5.7
306964,Tales of Halloween,2015-10-16,2015,90,5.3
360387,Blunt Force Trauma,2015-10-05,2015,92,4.4
362185,Operator,2015-08-21,2015,88,5.4
94365,The Human Centipede 3 (Final Sequence),2015-05-22,2015,103,3.5
241855,Spring,2015-03-20,2015,109,6.5
322518,The Intruders,2015-02-24,2015,92,4.9
291272,We Are Still Here,2015-06-05,2015,84,5.5
324963,Monster High: Haunted,2015-03-02,2015,75,7.0
342927,3-Headed Shark Attack,2015-07-20,2015,90,3.8
361159,Navy Seals vs. Zombies,2015-10-08,2015,97,3.3
365805,Wrecker,2015-11-06,2015,83,3.6
351964,The Escort,2015-06-15,2015,88,5.9
362057,Martyrs,2015-12-31,2015,86,5.0
137333,Uncanny,2015-01-31,2015,91,6.1
317198,Bad Hair Day,2015-02-13,2015,90,6.5
57876,Area 51,2015-05-15,2015,91,4.4
339533,San Andreas Quake,2015-05-19,2015,90,3.7
277546,The Runner,2015-08-07,2015,90,4.8
308457,Advantageous,2015-06-23,2015,92,6.4
306482,Partisan,2015-01-25,2015,98,5.8
362105,R.L. Stine's Monsterville: The Cabinet of Souls,2015-09-29,2015,85,7.2
245846,Strangerland,2015-07-01,2015,111,5.0
330112,Ashby,2015-04-19,2015,102,5.9
322766,Beautiful & Twisted,2015-01-31,2015,90,5.4
361931,Ronaldo,2015-11-09,2015,0,6.5
318224,Going Clear: Scientology and the Prison of Belief,2015-01-25,2015,119,7.8
309503,Zipper,2015-08-28,2015,103,5.5
348811,War Pigs,2015-08-03,2015,92,4.9
